{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 19, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00002', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
{'route_id': 'Route00001', 'start_location': 'Sydney', 'end_location': 'Adelaide', 'departure_time': datetime.datetime(2024, 2, 20, 6, 0), 'expected_arrival_time': None, 'assigned_truck': None}
